video_id,title,published_at,channel_id,channel_title,duration_seconds,is_short,views,likes,comments,thumbnail_url,video_url,transcript,engagement_rate,score,rank,content_type,type_rank
pe_ejTiIcSs,"Lose 100 LBs, Win $250,000!",20250621,@MrBeast,MrBeast,2209,False,245608107,6839872,115000,https://i.ytimg.com/vi_webp/pe_ejTiIcSs/maxresdefault.webp,https://www.youtube.com/watch?v=pe_ejTiIcSs,,0.02831694802321814,0.5282946032329849,1,Video,1
897gvApD6V4,Will a Zebra Subscribe to me?,20260401,@MrBeast,MrBeast,8,True,587081639,2835377,19000,https://i.ytimg.com/vi_webp/897gvApD6V4/maxresdefault.webp,https://www.youtube.com/watch?v=897gvApD6V4,,0.004861976274478583,0.502617247279402,2,Short,1
6Zy5VLcEbZc,"I Stranded 100 People In The Wilderness For $250,000",20260502,@MrBeast,MrBeast,2220,False,62056295,1710209,1000000,https://i.ytimg.com/vi_webp/6Zy5VLcEbZc/maxresdefault.webp,https://www.youtube.com/watch?v=6Zy5VLcEbZc,,0.043673393650072084,0.41508763829087897,3,Video,2
_JUlWtSCNbs,Who's The Strongest Streamer?,20260403,@MrBeast,MrBeast,26,True,293187880,4733908,15000,https://i.ytimg.com/vi_webp/_JUlWtSCNbs/maxresdefault.webp,https://www.youtube.com/watch?v=_JUlWtSCNbs,,0.016197490837615798,0.39084590216097703,4,Short,2
4l97aNza_Zc,"Survive 30 Days Chained To Your Ex, Win $250,000",20250913,@MrBeast,MrBeast,2224,False,228138490,4105258,68000,https://i.ytimg.com/vi_webp/4l97aNza_Zc/maxresdefault.webp,https://www.youtube.com/watch?v=4l97aNza_Zc,,0.018292651976437646,0.38695806231690333,5,Video,3
gar4U3n-ILY,Guess What Age Punched You,20260209,@MrBeast,MrBeast,37,True,286956118,4164205,28000,https://i.ytimg.com/vi_webp/gar4U3n-ILY/maxresdefault.webp,https://www.youtube.com/watch?v=gar4U3n-ILY,,0.014609219797153794,0.3650806558382123,6,Short,3
FWAdfuPpLOc,World's Fastest Car Vs Cheetah!,20250705,@MrBeast,MrBeast,1236,False,227218390,3493273,47000,https://i.ytimg.com/vi_webp/FWAdfuPpLOc/maxresdefault.webp,https://www.youtube.com/watch?v=FWAdfuPpLOc,,0.01558092635019551,0.35445427107816035,7,Video,4
F0OkwXKcPSE,Hi Me In 10 Years,20251004,@MrBeast,MrBeast,194,False,60939091,3675234,114000,https://i.ytimg.com/vi_webp/F0OkwXKcPSE/maxresdefault.webp,https://www.youtube.com/watch?v=F0OkwXKcPSE,,0.06218067808067567,0.34186107884421196,8,Video,5
hTSaweR8qMI,"$1 vs $500,000 Date",20250607,@MrBeast,MrBeast,1042,False,178861863,3559141,62000,https://i.ytimg.com/vi_webp/hTSaweR8qMI/maxresdefault.webp,https://www.youtube.com/watch?v=hTSaweR8qMI,,0.020245461717012306,0.33486909961833633,9,Video,6
Oo9EbArcQ1c,"I Saved 1,000 Animals From Dying",20251025,@MrBeast,MrBeast,1055,False,188413001,3355796,60000,https://i.ytimg.com/vi_webp/Oo9EbArcQ1c/maxresdefault.webp,https://www.youtube.com/watch?v=Oo9EbArcQ1c,,0.018129300960500066,0.3297200178977009,10,Video,7
